original_index,path,class_index,class_name,near_duplicate_group_id,resized_image_hash
21,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1017.jpeg,0,colon adenocarcinoma,21,418bc0494e65d53988ad368c1140fd97853d9565d95e8689a4c4d8e6b891d46c
22,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1018.jpeg,0,colon adenocarcinoma,22,681d17343a553de3acc57c2b7fbbc63d67973c6c1b283a4144c167fb747e2e51
23,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1019.jpeg,0,colon adenocarcinoma,23,fe1160d5c6047771930c8da28727d285adc3f87c4ae967131ebb5a35aab108a4
24,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca102.jpeg,0,colon adenocarcinoma,24,dc2970e7484d3cc10fa7616713033c4cad46c1ffda1fedb71dc539ba5107d386
25,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1020.jpeg,0,colon adenocarcinoma,25,511cf84ef810dfad594a3cd9db354e5f5b01a7311a59dd2460d968e1d9daf2fc
26,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1021.jpeg,0,colon adenocarcinoma,26,e7c968570c0d6d359e22b358826f1929e20ee0ba2f7f8aaf60b2c836e18f43ef
27,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1022.jpeg,0,colon adenocarcinoma,27,5b31d46fcf60cb43226cdc32787944afcb445169f717d31ad19ab99ba67dae7a
28,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1023.jpeg,0,colon adenocarcinoma,28,ce3039a6dc6cf29b9acd5109270e7c9cf84bcac8ebff7303629bdf6e0babc823
29,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1024.jpeg,0,colon adenocarcinoma,29,08a64cb064eac4cda55fccfb42fba2960a753ed8dd04940ee8be7ab72d9d9ebc
30,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1025.jpeg,0,colon adenocarcinoma,30,69d4b0eef623158eb667ceb026076d2f54105ec793ddeb9b36c8e340c7c1f359
31,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1026.jpeg,0,colon adenocarcinoma,31,b99764712ae0ce5bd575e8b4b0e7fb11780079e7c7cb2366a4b2cedef4b8e90d
32,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1027.jpeg,0,colon adenocarcinoma,32,6b60ace0a82717cd21a38801e6f69161509e25895deaa8eae37eaae4c985a63e
33,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1028.jpeg,0,colon adenocarcinoma,33,9d5e988a06f5813da71f4f463ca04a5ee061a13c37b3ab20225b66d2ffe0a433
34,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1029.jpeg,0,colon adenocarcinoma,34,d36ed898f516d95c7fd5d1832250d0566e49e5a750330184f253f840a7a3611c
35,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca103.jpeg,0,colon adenocarcinoma,35,2455273eb2dfcd87328cc221569ec82514a2710a8d336a8e159fb27c5e558d10
36,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1030.jpeg,0,colon adenocarcinoma,36,2194259e582582f2a2ba802b1be6a0d99d4c5940bc6a5bb748bfd8d59b0e3d55
37,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1031.jpeg,0,colon adenocarcinoma,37,f121680014448107e03f63a4cc7a36e8b47edf76f4438dc18290be1d29ffcf43
38,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1032.jpeg,0,colon adenocarcinoma,38,7642fb259c8607fdcdb14fa53b5bc33ee9875ebc4cdf8d49ba79bea724d20499
39,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1033.jpeg,0,colon adenocarcinoma,39,d42f38a4fcd298d18b9a425785e0114e5eb6b725555ac6d255306ad3dcb3c2b8
40,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1034.jpeg,0,colon adenocarcinoma,40,0743fabaa5c365f0a4f65b399541e8c6099511b3b08e9ff8ff216994f9f6eb21
41,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1035.jpeg,0,colon adenocarcinoma,41,7c8a4e0a09beaad5a7f9166712af95dc9fe899ef4ecf441e1b787e4a916c0c73
42,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1036.jpeg,0,colon adenocarcinoma,42,efb89a52f35af7f974fad325a6e4610329c5a9610ff61e0a848f462a0ce15d58
43,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1037.jpeg,0,colon adenocarcinoma,43,5b3434c0860c208fa4b3248e3da41300e3bb1bdd5f18e45a9509f1ce8d7ee89b
44,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1038.jpeg,0,colon adenocarcinoma,44,5c8d682ed39ca155ff1cb393ac0c7834b943abdf0879f0f5366df864892c20d1
45,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1039.jpeg,0,colon adenocarcinoma,45,2e6c160109eee8ae97a43372d4150a248cb03bbd206d9a408f06a67231de3abd
46,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca104.jpeg,0,colon adenocarcinoma,46,c40e8c107239ecfc53bf72d432ead99cb34685bfb70d74dc57477165d7534864
47,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1040.jpeg,0,colon adenocarcinoma,47,505d00fc97e07f264e2d375b7f02e953b54906a92c2c9edff3c9e52ba1e5290a
48,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1041.jpeg,0,colon adenocarcinoma,48,81faa9e3e5d57e18485f646524228664d5ba68f8a19dd5eef0093d6c50b85c10
49,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1042.jpeg,0,colon adenocarcinoma,49,ef938f2af56db9af86f91dbfa08828035acd71c726591ad86adfe29cde3e6cbc
50,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1043.jpeg,0,colon adenocarcinoma,50,ddf74d0808cd79a158c1140d8ee57ef1bf7d472c128311d63ce5290ec6f01e70
51,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1044.jpeg,0,colon adenocarcinoma,51,d23851bf918a61765642daa1fbbdb62e9b22c5189552818f5cfa006228ff0940
52,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1045.jpeg,0,colon adenocarcinoma,52,07e055f7636d9b6677eecac2dd68ab6cdfa471648876add27b6d12b7432aae94
53,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1046.jpeg,0,colon adenocarcinoma,53,02d14b8c54f0518e73dcc725cbb8d8ecd60b05f98a1a1db5ab3a34be33f587c6
54,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1047.jpeg,0,colon adenocarcinoma,54,713b16381ad550b05f4ca79a8f6e9cb5ff6991faa57fe589ef2f32747864c8ed
55,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1048.jpeg,0,colon adenocarcinoma,55,c9fac0390b9c3f89e0168f2690de29ce86456970814eb439f2c05fd7e9e0337a
56,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1049.jpeg,0,colon adenocarcinoma,56,c2a2a50511348f3fddca37170a51c84028a11de34d6a77600f2f8abdbc53c296
57,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca105.jpeg,0,colon adenocarcinoma,57,9d6ea99882101ca8f911562a62e5a380d048b750bfe6b771247e24ed85f17e05
58,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1050.jpeg,0,colon adenocarcinoma,58,00f40680a567c6b64c355aa1199ec4a6a9a609d58ff1a2ec594808f48249a6bd
59,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1051.jpeg,0,colon adenocarcinoma,59,4700d2479f5361591081a90c69e7269baeb3ae7ff3f63cd8f6a31e39e8445237
60,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1052.jpeg,0,colon adenocarcinoma,60,4fbbda9d59579c651dada7c3cea1d06fdd755054e00bec894281391a52218fdc
61,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1053.jpeg,0,colon adenocarcinoma,61,13fdd21ac07a9c3ba4dbd04268a18fba0c24989d0c602982adf08683535d87cc
62,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1054.jpeg,0,colon adenocarcinoma,62,2984ca13f21cfd593b55310a2291b0fb792331c62bb920dbdeaf880f76266616
63,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1055.jpeg,0,colon adenocarcinoma,63,20461532687f5284e6239fc09df8a3bc9e65d893678110026d514daf772eada0
64,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1056.jpeg,0,colon adenocarcinoma,64,64a9aee56d3014106d794af6aef081df6dad8581ce4072a89721d94148f35253
65,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1057.jpeg,0,colon adenocarcinoma,65,dcbee51498aaca5bebff55a1d25cfebf05e7515a1ee88c44125298b8cecf3a34
66,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1058.jpeg,0,colon adenocarcinoma,66,ed0e369e8129059c10df578a6019388e593f91d9206b1259af7dfdfc166900c2
67,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1059.jpeg,0,colon adenocarcinoma,67,dfca67fc4c2bbe2f6e7b2551506a76832dfdf2a1664623041d04110be70ff9bb
68,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca106.jpeg,0,colon adenocarcinoma,68,5a5cbfe26d4903c740f407197a6f9b3ca32b3a1ef52133119287713ddc725650
69,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1060.jpeg,0,colon adenocarcinoma,69,b8ed720b0e1b32931a2de0d2930124a1493c18d4f8d7cd616d7e489e3701748b
70,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1061.jpeg,0,colon adenocarcinoma,70,63b940a1173ac415e9679f47a97efeed52194cb774b69b5288327cdfa172472c
71,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1062.jpeg,0,colon adenocarcinoma,71,6bc8b1b91d5001c6f7750c5b036b25387fff6254b6315190198599d1161ff8c0
72,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1063.jpeg,0,colon adenocarcinoma,72,8b9e606dd1e5342db2bc0f5847421aea8881c55ad974a8721736dbf309fb656b
73,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1064.jpeg,0,colon adenocarcinoma,73,f30ce754941d18db67bf5aa7e41c70a4b50fb399e078f6bc0d3bc262a7ea2478
74,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1065.jpeg,0,colon adenocarcinoma,74,368d764203de08ed5e3a5695c4bf173527728baafdcf990c272ff6f707e781d9
75,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1066.jpeg,0,colon adenocarcinoma,75,3234a8c7cd77f05029c2d1048478fcd58dd1d87aa1491d876e437544c2ce0771
76,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1067.jpeg,0,colon adenocarcinoma,76,e60cf5c90cffbafd4e01b8d20db2ec5a36284a2ab01ec0c493538601b5313df1
77,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1068.jpeg,0,colon adenocarcinoma,77,72d2936aa5cf68c1f28850c5ca766729f99c96969b2621f418ffff6169c13153
78,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1069.jpeg,0,colon adenocarcinoma,78,05a2206775769ca139210a90e80b9859e69218eaca7d3b63f19c00457d858a51
79,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca107.jpeg,0,colon adenocarcinoma,79,0f68be23ebc95685b42f3969dff1227eaecdd0b089dd89b1cb8b171b9cf7fcc1
80,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1070.jpeg,0,colon adenocarcinoma,80,f8c852a460810e306a965e9fffb31f12ba3cf074a5a0e0003dffb4d6f140944d
81,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1071.jpeg,0,colon adenocarcinoma,81,2c56afde7d826b8fdd132954ff0403bf06289ef35f8c61b2ca14412af0eb583b
82,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1072.jpeg,0,colon adenocarcinoma,82,506fd60f43a38ba536dcbdd70f32ab04e7624b57757dfc0eba8d5a4d94efd1ab
83,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1073.jpeg,0,colon adenocarcinoma,83,b71fb57219c38c6a1b1ad6fb876a6d3c29d6f7ece75418644466c1c2d4a08ddb
84,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1074.jpeg,0,colon adenocarcinoma,84,30a930fb3f409b0bcad67aa8fb37252197b57b0257c2e7ff508bf73f9c047a43
85,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1075.jpeg,0,colon adenocarcinoma,85,92c26af0da4a66bf9b8ab55663df817144ed6b8f10b99cbca4d5731662dff3ab
86,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1076.jpeg,0,colon adenocarcinoma,86,9c5459076e09b195f414b1c471d96db3538db9a6c6a3407d48d1a64a16bca395
87,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1077.jpeg,0,colon adenocarcinoma,87,eb5ca1545315d5c05adea080b87e47935b597fa64e76dd4e8b91af0929d51cdc
88,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1078.jpeg,0,colon adenocarcinoma,88,7ee881b704ebc892d975f17f55d6f8827dd0179c582fce6f28b575777fc5be6f
89,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1079.jpeg,0,colon adenocarcinoma,89,3abf522592c79b4dbabb1aa4cf670ec1b890decea6094bbf319f2ee26a8e4781
90,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca108.jpeg,0,colon adenocarcinoma,90,7e6e209247bd2e12e573fd00f4208587d3d01cb2519ff129b5ca33ecd7a74d42
91,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1080.jpeg,0,colon adenocarcinoma,91,3e429e47cb5b76e194a8bf394f85483f5548288ec5061a62ebee75c9d4619840
92,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1081.jpeg,0,colon adenocarcinoma,92,3b11029f97453300f8c0444eee5b541c203a5c027da5ec2013c6d75a6cc3f4b9
93,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1082.jpeg,0,colon adenocarcinoma,93,de8ef34f944022182e8582dedea44230e3af6e3cdd9eee1fa9da40b5c95b1d64
94,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1083.jpeg,0,colon adenocarcinoma,94,2df5caca9fbd66b81c3ba466c782c30d8d451920d32b020470435da7e23bad22
95,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1084.jpeg,0,colon adenocarcinoma,95,6ca5b7cf1c7230d092335daf1e639cb157879fb2e2a96793887102c9f0b05c9a
96,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1085.jpeg,0,colon adenocarcinoma,96,14b16dfb8ca5e75ac7dd380ee42b28fbb3b15222c43d5ff167741e86f44e844d
97,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1086.jpeg,0,colon adenocarcinoma,97,39043c935e62cabd0fc9dde8abc0c7b9ba74a4ed3a74a4ea542f09a13414ddb0
98,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1087.jpeg,0,colon adenocarcinoma,98,85f24754ac5129bcd4a42dba55deefb4ce56d660dc961d109ac4e1c31f65eece
99,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1088.jpeg,0,colon adenocarcinoma,99,b0a7fea03a808746b8be09ded34c40dd9ef49574d8d95b1f95382cf234588c4d
100,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1089.jpeg,0,colon adenocarcinoma,100,81a9b19abbb2513c30f870791c8da3e19e1a87b07b15b7fb835e6712303c7413
101,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca109.jpeg,0,colon adenocarcinoma,101,7e2eed4da28a9c77cabd9d154ce5ef56ed16822a49ff3a7e0dd5ce4193c9352e
102,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1090.jpeg,0,colon adenocarcinoma,102,70145550c9c07176c12c563b4c48e0f9e556d1032d858f42eacd3abb3df26782
103,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1091.jpeg,0,colon adenocarcinoma,103,e733f2d8067f93369240c31fb8df8577a11916b7954c84063b11464a21bfa3d7
104,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1092.jpeg,0,colon adenocarcinoma,104,129e98591940076d1fc23673fd28c76591b0d01d814d9e05311718a99df0ee44
105,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1093.jpeg,0,colon adenocarcinoma,105,e9926688a341c127608f8a91037ff19d6545ca782a95913d03eb876566aa7eb2
106,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1094.jpeg,0,colon adenocarcinoma,106,df3830c17f24a5bf02745fffdaccb3e1db2edce371df66fd7994769c8d8dd44b
107,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1095.jpeg,0,colon adenocarcinoma,107,67b4dc535b2a7d40494adfe20981e805108972a39f03adb5f51130dbc08b618e
108,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1096.jpeg,0,colon adenocarcinoma,108,90b2cc4750bb0a0bcf39b06c4aa62871f5970b3d165b91e2ebc6d6da025561a6
109,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1097.jpeg,0,colon adenocarcinoma,109,7da05b693e0fd5751ea06d391bc8e866c2d062feae3813d5687c1a2ca85c09bb
110,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1098.jpeg,0,colon adenocarcinoma,110,67d161c08b82ce4a7af14723e09103df5458fb4880967a5109b7d43d3394d78e
111,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1099.jpeg,0,colon adenocarcinoma,111,74df7ebce5e2e134e271afd737cf1fb1e6f60892c19c5fa8f5f86fbecc696abc
112,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca11.jpeg,0,colon adenocarcinoma,112,68c4b0f693344c59ca939c26616d31a11b030ba3de1b7d02a1e8ef5166ce09aa
113,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca110.jpeg,0,colon adenocarcinoma,113,9c3b6b3b76e4e2c5e0b764304ba77db58a8aa126c8433c7b7e8021075405fbeb
114,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1100.jpeg,0,colon adenocarcinoma,114,5781e14ab7a6fe40b0cdb5ad30620060ca4b8c1fa4cb16cd70f8a19ae5f7faa5
115,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1101.jpeg,0,colon adenocarcinoma,115,e8694f77959d39ee538bffa68f3bd521a7741d9e48936ba5d6cf479aeaadcf08
116,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1102.jpeg,0,colon adenocarcinoma,116,dd538b1b14428c7ad80a03601edab96b93645bbe3e75fdc24000823d6b589325
117,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1103.jpeg,0,colon adenocarcinoma,117,43f2dbf14191df4bf30adab05cc333577af98ddebc2a3f81d67fe18b8fc3b7f6
118,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1104.jpeg,0,colon adenocarcinoma,118,95eba04ecf29987fb38072f7b08c3fdb7acc60c4c3032aeacb10834f3720daf6
119,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1105.jpeg,0,colon adenocarcinoma,119,41b850c6eca25af7ea9c8159ee1ddd89119410bebe59d2003279e456a48da6e4
120,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1106.jpeg,0,colon adenocarcinoma,120,0b675d19db5c52b2d60d39f789078eef2d3720bbb92cb84849108c0074a8cb60
121,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1107.jpeg,0,colon adenocarcinoma,121,5a5e11bd62ff49fc254f068bdaed67c7d68820deeb8000bbcc99c58cfe92e613
122,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1108.jpeg,0,colon adenocarcinoma,122,51777fd937b581cbc366b6ca7b9986beda2277cc2bc7d7f8cc60ef0a84529adf
123,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1109.jpeg,0,colon adenocarcinoma,123,11545a6588ae2cfab540a7bfc3ee1d7d4c2b00fd1a4d6b89ecea04be88200f5b
124,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca111.jpeg,0,colon adenocarcinoma,124,d63e05d4aaf6ec8a60080bbe964ffc6e383c8e6be34c54b5c257e0d60ebe5c0e
125,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1110.jpeg,0,colon adenocarcinoma,125,6c17a244a51597939946aca6c42f164f5a902cc2cd9737aabdd6c3c49856d549
126,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1111.jpeg,0,colon adenocarcinoma,126,b62739f3db51b217d9a1fc5a45de7fbebac7c5472a7d2882af5be9a5e190e8ac
127,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1112.jpeg,0,colon adenocarcinoma,127,5ec6a07cb64223bc391e5dc422b472f7faf0c6e3cedac5d6149369997aac9875
128,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1113.jpeg,0,colon adenocarcinoma,128,2ca9e7694ec297c6a72d71f7a0dcef967a0e9e2251462e9b3357a87156c1097d
129,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1114.jpeg,0,colon adenocarcinoma,129,8a8cdb1d77669a5f239d15f15b9e7c48a059bd3c106c3ff4129a0cb4643a43d8
130,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1115.jpeg,0,colon adenocarcinoma,130,11b0f6e05fd733574e0816bfd2ffecdab74f2a4461e802489092069e669f173d
131,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1116.jpeg,0,colon adenocarcinoma,131,0d8318d058a6aeebfee3d654248c09238883d051be36271b92930666b21117ef
132,datasets/lc25000/lung_colon_image_set/colon_image_sets/colon_aca/colonca1117.jpeg,0,colon adenocarcinoma,132,dd0b576a9afb2fcc7bd1d667970d030b7a3631c0e6eacf7a13480186535b4fa8
